id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
31,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-05-60-the_pride_and_fall_of_man.txt,0.027171472,4.08E-04,0.0239452,0.080356339,0.003009121,0.146995912,0.108287694,0.139383274,0.005783347,0.001647555,0.010455678,0.061388683,0.009983202,0.014588604,5.46E-04,0.007439663,0.002785577,0.012475898,0.004070534,6.64E-04,9.07E-05,0.008528068,2.96E-04,6.91E-06,0.025719215,0.008387659,0.075385031,0.219529869,4.07E-04,2.64E-04
32,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-06-61-the_justification_of_man.txt,0.043942368,0.004006894,0.004162072,0.32512874,0.005472752,0.13719069,0.0881327,0.121963491,0.018748143,0.013077147,0.007469373,0.06589899,2.26E-04,0.004849449,3.27E-06,0.005801377,5.66E-04,0.014350677,0.001003647,2.65E-04,6.31E-06,0.002576974,0.01101352,0.015446607,0.023561839,1.34E-05,0.071088926,0.007452599,0.002832586,0.003748882
33,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-07-62-the_holy_spirit_and_the_gathering_of_the_christian_community.txt,0.03722314,0.003564131,6.25E-04,0.024730391,0.002512723,0.093129952,0.021225946,0.167428828,0.027118171,0.025935346,0.045041947,0.035111567,0.004859309,0.001212616,4.46E-06,1.04E-05,0.040977896,0.014069974,1.19E-04,0.003011231,0.009910179,0.001013972,0.29491419,0.011913978,0.045334735,1.83E-05,0.080295429,2.62E-04,0.008413684,1.18E-05
34,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/09-08-63-the_holy_spirit_and_christian_faith.txt,0.041524138,0.001838416,0.037551163,0.057907947,3.18E-05,0.154106692,0.050941698,0.166826506,0.158998453,7.25E-04,0.088201896,0.036084784,2.20E-05,3.20E-05,1.15E-05,0.001443849,0.0215679,4.57E-05,4.77E-05,1.57E-04,0.002598554,2.93E-04,0.034053034,0.05529452,0.021197281,3.05E-04,0.051354201,1.60E-04,0.016649473,3.03E-05
36,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/10-02-64-the_exaltation_of_the_son_of_man.txt,0.054971426,0.004300394,0.016374685,0.009370611,0.006001509,0.125598605,0.043745845,0.154184274,0.002723238,0.015382661,0.04783478,0.080030474,0.00146758,1.15E-04,1.11E-06,0.002113843,0.012498976,0.008511523,0.001507315,0.004076151,0.244187412,0.002387907,0.009691254,0.010435086,0.03074423,0.002190307,0.104328956,2.96E-06,0.005219109,2.92E-06
37,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/10-03-65-the_sloth_and_misery_of_man.txt,0.001666665,0.011902825,0.004656103,0.023643868,0.017666366,0.122559147,0.190530281,0.133835951,0.003316722,0.01227987,0.015185174,0.073129867,0.007746688,0.001340295,7.29E-04,0.003676744,0.001145969,8.61E-04,0.015696094,8.67E-06,0.012181007,2.93E-04,0.001344299,0.00557273,0.064601203,1.76E-04,0.07053114,0.194673777,0.001501481,0.007547725
38,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/10-04-66-the_sanctification_of_man.txt,0.032690831,0.00315228,1.43E-04,0.036288322,0.004130347,0.136389963,0.086993296,0.12369219,0.009394157,0.00732778,0.009492826,0.083675374,0.002740229,0.003069759,1.26E-04,9.01E-05,0.005361596,0.008581419,0.003605063,0.001314213,0.025830237,0.004417125,0.01094724,0.209410442,0.056645888,0.023675986,0.096710748,0.00771998,0.002824928,0.003558753
39,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/10-05-67-the_holy_spirit_and_the_upbuilding_of_the_christian_community.txt,0.006767075,1.80E-04,4.01E-04,5.71E-04,1.04E-05,0.110163436,0.02546765,0.142817894,0.008621179,0.01534616,0.023663224,0.039000915,7.21E-06,1.05E-05,3.77E-06,8.79E-06,0.039140522,0.00263158,0.005713074,3.89E-04,0.0055781,8.98E-04,0.35912261,0.018242031,0.07679106,0.007907436,0.100809085,0.001402776,0.007353798,9.81E-04
40,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/10-06-68-the_holy_spirit_and_christian_love.txt,0.008281505,0.003429203,0.008009561,0.027288897,0.027158407,0.154476918,0.042032707,0.123263637,9.25E-04,0.005907688,0.017795496,0.074176517,0.001119761,9.88E-06,0.002746234,8.28E-06,0.019692793,0.022750568,3.72E-04,0.001161271,0.018490156,0.001163702,0.013290011,0.016266976,0.051139188,0.00430742,0.091051338,0.004660122,0.002116517,0.256907536
42,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/11-02-69-the_glory_of_the_mediator.txt,0.005305086,3.66E-06,0.013480417,0.004471375,0.002538902,0.117719656,0.06130504,0.145364764,0.001851476,0.025836255,0.309525252,0.046599609,0.001620757,0.00295703,1.20E-06,0.002551875,0.033453823,0.006694396,0.004051129,0.002417095,0.005923166,3.73E-06,0.006761737,0.007731379,0.047900184,6.39E-04,0.135419479,0.004170736,0.001702708,0.001999264
43,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/11-03-70-the_falsehood_and_condemnation_of_man.txt,0.014889791,1.14E-05,0.008089106,0.031411664,0.001733204,0.109266428,0.229493716,0.127366472,1.17E-05,0.006959652,0.080708884,0.047824532,0.002612455,0.006565662,3.75E-06,0.001773622,0.008590191,1.49E-05,0.005352182,9.04E-06,7.23E-06,1.80E-04,1.46E-05,5.22E-05,0.047590515,0.001107888,0.123105939,0.008077987,7.25E-04,0.136450913
44,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/11-04-71-the_vocation_of_man.txt,0.009002028,0.001124735,0.003295432,5.36E-04,0.003217946,0.123708034,0.055353712,0.129555014,0.001743502,0.01155456,0.080984798,0.077283146,0.006214086,2.97E-05,2.12E-06,4.96E-06,0.044812764,0.003934319,0.004386758,0.001123397,0.011710347,0.001362784,0.002625526,0.216095537,0.058449189,0.00260215,0.13765918,0.001409474,0.006834523,0.003384227
45,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/11-05-72-the_holy_spirit_and_the_sending_of_the_christian_community.txt,7.84E-06,0.002622614,0.011159764,0.003174525,0.002826814,0.139679379,0.052885144,0.134144847,0.001121142,0.007886287,0.057941575,0.034084723,1.18E-04,0.001256995,4.75E-05,4.74E-06,0.255829462,0.010860617,0.002010571,0.002234556,0.006920422,0.009584736,0.037570912,0.012473413,0.0753888,8.27E-04,0.127196684,0.003031399,0.00630783,8.02E-04
46,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/11-06-73-the_holy_spirit_and_christian_hope.txt,4.21E-05,3.32E-05,1.84E-04,0.019378156,0.001130262,0.098437913,0.035259464,0.10085108,3.39E-05,0.241005563,0.126722652,0.030573918,2.09E-05,3.04E-05,1.09E-05,2.55E-05,0.034156436,0.001387981,7.79E-04,2.63E-05,2.10E-05,3.38E-05,0.009821475,0.100386163,0.063630592,9.00E-04,0.108626406,2.92E-05,0.012987315,0.013474813
48,file:/Users/csb5t/projects/barth/texts/paragraphs_after_election/12-02-74-the_foundation_of_the_christian_life.txt,0.029059851,0.002328375,0.003100295,0.01587424,1.59E-04,0.120488243,0.0268274,0.081833824,0.012297434,0.008668027,0.022297442,0.05694601,0.003005374,1.15E-04,0.003595151,2.65E-05,0.020363512,0.011357013,0.00182662,8.15E-04,0.003969432,3.35E-04,0.007062552,0.015999398,0.041596732,0.011904986,0.129391268,2.68E-04,0.368483218,5.15E-06
