id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19
28,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-03-27-the_limits_of_the_knowledge_of_god.txt,0.169518619,0.003535986,0.094635318,0.003478266,1.99E-04,0.020566575,0.001994192,0.001066053,0.397470473,0.003488184,0.121421035,0.083012774,0.001577983,0.016977202,0.076770216,0.002921132,1.46E-04,0.001186727,2.16E-05,1.29E-05
29,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-04-28-the_being_of_god_as_the_one_who_loves_in_freedom.txt,0.24560071,1.56E-04,0.100648189,8.92E-05,1.51E-05,0.016298789,1.77E-05,0.041771755,0.018356375,0.005830307,0.135537237,0.309282386,0.005193678,0.015579578,0.06756762,0.007680294,0.002890882,0.021786193,5.26E-04,0.005171662
30,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-05-29-the_perfections_of_god.txt,0.23206108,0.002596731,0.005487338,3.71E-05,4.85E-04,0.001446909,0.00200243,0.018931056,0.033754168,0.002177568,0.122959539,0.461394222,2.29E-04,0.01519611,0.099374576,3.57E-05,5.50E-05,0.001691476,5.28E-05,3.17E-05
31,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-06-30-the_perfections_of_the_divine_loving.txt,0.123745924,3.58E-04,0.088772512,0.049102314,0.013027244,0.274367999,0.040336041,2.30E-04,0.007157773,0.009222451,0.129848945,0.190289367,0.023998619,0.003485941,0.032804283,0.004174369,1.60E-05,0.007240566,5.41E-04,0.001280299
32,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-07-31-the_perfections_of_the_divine_freedom.txt,0.152293645,2.08E-05,0.058500965,0.01025123,0.015921735,0.035821238,0.007088857,0.003449293,0.008679846,0.006490979,0.154682893,0.4317893,0.032922864,0.008295216,0.031172004,0.011434761,0.004741202,1.45E-04,0.001984883,0.024313574
34,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-02-32-the_problem_of_a_correct_doctrine_of_the_election_of_grace.txt,0.174890565,4.57E-04,0.064055904,0.032795677,5.44E-05,0.029307331,0.003199742,0.0012233,0.01622621,1.82E-05,0.120155339,0.090286213,6.81E-05,0.05261399,0.098866571,9.99E-04,1.63E-05,8.53E-06,1.06E-04,0.314652306
35,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-03-33-the_election_of_jesus_christ.txt,0.14452803,7.36E-06,0.172875748,0.025840733,4.99E-05,0.065321081,0.002028841,2.16E-04,0.001165926,1.67E-05,0.110014583,0.056619704,0.013204385,2.18E-05,0.066468079,0.001451632,2.62E-04,7.83E-06,5.56E-05,0.33984408
36,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-04-34-the_election_of_the_community.txt,0.118094674,6.43E-06,0.109532301,0.45695405,0.002994841,0.085499865,3.69E-04,4.46E-05,4.07E-04,0.00134628,0.168311047,4.89E-05,0.031618939,9.19E-04,1.49E-05,4.04E-04,0.007823206,0.001374506,0.014121153,1.16E-04
37,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-05-35-the_election_of_the_individual.txt,0.11004001,3.51E-06,0.115149851,0.384060208,0.005465657,0.081934148,0.013147883,4.69E-06,2.56E-05,0.009320071,0.154247683,0.013680518,0.032464984,0.00105164,0.024152794,0.00917922,0.011774974,0.005661717,0.015193052,0.013441828
38,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/04-06-36-ethics_as_a_task_of_the_doctrine_of_god.txt,0.252946701,0.264808504,0.161257371,2.72E-05,2.33E-05,0.013702043,2.49E-04,0.00734474,0.055142256,1.56E-04,0.13321935,0.01046282,8.33E-04,0.035208696,0.005590025,2.62E-05,0.009132767,0.003901972,0.005582887,0.040384643
