,id,file,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,para_nums,titles
10,11,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-12-11-god_the_son.txt,0.12043917300000001,1.6100000000000002e-05,0.082415697,0.003726031,0.036967321000000004,0.02778551,2.23e-05,0.002460689,0.050887617999999996,0.00085,0.091462054,0.05486773599999999,0.018023991,0.034918436000000004,0.441158893,0.014023761000000001,0.01475801,0.00010800000000000001,3.16e-05,0.0050778559999999995,11,god_the_son.txt
11,12,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/01-13-12-god_the_holy_spirit.txt,0.07740905599999999,1.82e-05,0.089012099,0.0036859009999999997,0.00378402,0.022430647999999997,2.51e-05,0.010803732,0.025860658999999998,4.13e-05,0.10367001199999999,0.053018602000000005,0.01815392,0.0162231,0.51471068,0.010295019,0.019663775,0.01262926,0.01447594,0.004089016,12,god_the_holy_spirit.txt
12,14,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-02-13-god's_freedom_for_man.txt,0.224084547,0.000433,0.15800483099999998,0.005101288,2.18e-05,0.027821174,2.56e-05,0.006136485,0.060112952000000004,0.00035299999999999996,0.092757984,0.016300706,0.044700497,0.025434272,0.312260831,0.017841817,0.00324897,0.005302731,3.6200000000000006e-05,2.17e-05,13,god's_freedom_for_man.txt
13,15,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-03-14-the_time_of_revelation.txt,0.167191352,1.05e-05,0.061684153,0.060742965,0.017597819,0.035380381,0.013965646000000002,0.000131,0.026747606,0.0028960809999999996,0.11696936599999999,0.008227613,0.31903121,0.028871286,0.10541999699999999,0.003882655,0.027396092,0.001359358,0.001016989,0.001477732,14,the_time_of_revelation.txt
14,16,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-04-15-the_mystery_of_revelation.txt,0.167187284,0.017288089,0.106361669,0.000105,0.011904285,0.038519824,0.010173358,0.014996298,0.018605019,0.002126283,0.06782830299999999,0.02469544,0.01983266,0.036972516000000004,0.41281269600000003,0.036396814,0.004278439,0.0024908079999999997,6.32e-05,0.007361881999999999,15,the_mystery_of_revelation.txt
15,17,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-05-16-the_freedom_of_man_for_god.txt,0.179585897,0.0009119999999999999,0.137106629,0.010606858,1.18e-05,0.060209680999999994,0.000239,0.008521681,0.045769858,0.013095116,0.115590304,0.014782864,0.012537913999999999,0.074575526,0.229125845,0.0018163779999999998,0.043463217,0.011617965,0.036588189,0.003843321,16,the_freedom_of_man_for_god.txt
16,18,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-06-17-the_revelation_of_god_as_the_abolition_of_religion.txt,0.232930002,0.006151271,0.06400697,0.02153574,0.014657078999999998,0.083811703,0.014764006000000001,0.01014402,0.22185875800000002,0.010940213,0.154672744,0.011410217,0.012520887,0.040133839,0.02595414,0.001639737,0.022329388999999998,0.005049472,0.035714791,0.009775021,17,the_revelation_of_god_as_the_abolition_of_religion.txt
17,19,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-07-18-the_life_of_the_children_of_god.txt,0.157579639,0.003801177,0.15800614300000002,0.00754379,1.11e-05,0.10725285,0.000487,0.000381,0.016446845,0.01592572,0.15395836699999998,0.024823381000000002,0.014351666,0.023989771,0.055107725,0.0024349560000000003,0.002547012,0.23778534899999998,0.017291999,0.00027400000000000005,18,the_life_of_the_children_of_god.txt
18,20,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-08-19-the_word_of_god_for_the_church.txt,0.178000505,0.000373,0.05318419,0.017147129,0.0017243529999999999,0.014204516,0.0006360000000000001,0.000584,0.028469107,0.00204604,0.138344123,0.025720229,0.025624574,0.334148135,0.144781119,0.007229477,0.011389903,9.86e-06,0.009468014,0.006916551,19,the_word_of_god_for_the_church.txt
19,21,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-09-20-authority_in_the_church.txt,0.20134248800000001,7.72e-05,0.016517059,0.000611,7.45e-06,0.007883816,0.004471851,0.002487951,0.008440962,0.012978608,0.173403405,0.009363971,0.011282314,0.464322633,0.037703036,0.004790257,0.011454008,0.001494429,0.023390505,0.007977234,20,authority_in_the_church.txt
20,22,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-10-21-freedom_in_the_church.txt,0.270259729,0.0038434209999999996,0.11146623800000001,0.0053215369999999994,0.001132777,0.017370159,0.0008990000000000001,0.012102396000000001,0.015172386999999999,0.034284006,0.168436965,0.024905432,0.026212016,0.243271935,0.008279837,0.0033161040000000003,0.011461145,1.12e-05,0.042241285,1.23e-05,21,freedom_in_the_church.txt
21,23,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-11-22-the_mission_of_the_church.txt,0.306343485,0.03012467,0.075942581,2.1e-05,0.00010400000000000001,0.01180115,0.006797943000000001,0.0023365729999999998,0.050808535,0.029286327999999997,0.123734833,0.006807547,0.002360434,0.285783966,0.028343416,2.0300000000000002e-05,0.006207496999999999,1.63e-05,0.027651641,0.0055079840000000005,22,the_mission_of_the_church.txt
22,24,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-12-23-dogmatics_as_a_function_of_the_hearing_church.txt,0.277041754,0.005162369,0.020311779,2.4299999999999998e-05,0.00011999999999999999,0.0015406410000000001,0.005465945,0.002002335,0.008241505,0.02101464,0.152702297,0.007455748000000001,0.001535174,0.448629692,0.013793079,2.34e-05,0.000135,0.00041500000000000006,0.032089928,0.002296251,23,dogmatics_as_a_function_of_the_hearing_church.txt
23,25,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/02-13-24-dogmatics_as_a_function_of_the_teaching_church.txt,0.24281653600000003,0.016725074,0.117893408,2.8499999999999998e-05,0.00014,0.033707051,0.000493,0.0025797339999999998,0.005139034000000001,0.018607448000000002,0.150042167,0.03925046,0.004236035,0.301783701,0.02568452,0.000491,0.006886363,0.000138,0.0070006669999999995,0.026356832,24,dogmatics_as_a_function_of_the_teaching_church.txt
24,26,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-01-25-the_fulfilment_of_the_knowledge_of_god.txt,0.138859025,0.000258,0.277790697,0.008535359000000001,0.00099,0.035730231,2e-05,1.9399999999999997e-05,0.252487575,0.00011399999999999999,0.109276915,0.052500582000000004,0.021046716,0.01034264,0.048450032000000004,0.000668,0.000759,0.023453201,0.002947918,0.01575031,25,the_fulfilment_of_the_knowledge_of_god.txt
25,27,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-02-26-the_knowability_of_god.txt,0.253067787,7.38e-06,0.16792073100000002,0.008265205,0.026961506,0.080386795,0.004715594,0.005293099,0.21064074100000002,0.004061735,0.144316936,0.0017483870000000001,0.01900801,0.053267130999999995,0.001379164,0.00752187,0.001542212,4.91e-05,0.009796686,4.99e-05,26,the_knowability_of_god.txt
26,28,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-03-27-the_limits_of_the_knowledge_of_god.txt,0.16951861899999998,0.0035359859999999996,0.09463531800000001,0.003478266,0.000199,0.020566575,0.001994192,0.001066053,0.397470473,0.003488184,0.121421035,0.083012774,0.0015779829999999998,0.016977202,0.076770216,0.0029211320000000003,0.000146,0.001186727,2.1600000000000003e-05,1.29e-05,27,the_limits_of_the_knowledge_of_god.txt
27,29,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-04-28-the_being_of_god_as_the_one_who_loves_in_freedom.txt,0.24560071,0.000156,0.100648189,8.92e-05,1.51e-05,0.016298788999999998,1.77e-05,0.041771755,0.018356375,0.005830307,0.135537237,0.309282386,0.005193678,0.015579578,0.06756762,0.007680294,0.002890882,0.021786193,0.000526,0.0051716620000000005,28,the_being_of_god_as_the_one_who_loves_in_freedom.txt
28,30,file:/Users/csb5t/projects/barth/mallet_scripts/../texts/paragraphs/03-05-29-the_perfections_of_god.txt,0.23206108,0.002596731,0.0054873380000000005,3.71e-05,0.00048499999999999997,0.001446909,0.00200243,0.018931056,0.033754168,0.002177568,0.122959539,0.461394222,0.000229,0.01519611,0.09937457599999999,3.570000000000001e-05,5.5e-05,0.0016914760000000001,5.28e-05,3.17e-05,29,the_perfections_of_god.txt
